"state","year","min_wage","gdp_millions","unemployment","population","rental_vacancy_rate","bachelors","homeowner_rate","manufacturing"
"HI",2015,NA,81230.3,3.4,1422.999,8.7,31.4,59.3,14.4
"HI",2016,NA,83914.4,2.9,1428.885,10.6,31.9,57.7,14.5
"HI",2017,NA,87217.4,2.2,1425.763,8.7,32.9,55.9,14.7
"HI",2018,NA,90330.8,2.4,1423.102,8.5,33.5,59.5,14.5
"HI",2019,NA,91912.7,2.5,1415.615,7.4,33.6,60,14.1
"HI",2020,NA,82535.5,11.9,1451.043,7.5,35.5,58.8,12
"HI",2021,NA,91096.1,6,1447.154,7.3,35.3,58.1,12.1
"HI",2022,NA,98218.8,3.5,1440.196,6.9,NA,59.2,12.5
"ID",1997,NA,29496.9,5.2,1210.638,6.8,NA,72.3,68.3
"ID",1998,NA,31059.8,5.2,1230.923,5.5,NA,72.6,69.4
"ID",1999,NA,34239.9,5,1251.7,6.1,NA,70.3,69
"ID",2000,NA,38083.1,4.7,1299.43,6.7,NA,70.5,70.4
"ID",2001,NA,37489,5.1,1319.962,6,NA,71.7,69
"ID",2002,NA,38673.2,5.6,1340.372,6.4,NA,73,65.5
"ID",2003,NA,40490.6,5.6,1363.38,9.7,NA,74.4,62.4
"ID",2004,NA,44327.9,4.9,1391.802,9.8,NA,73.7,62.3
"ID",2005,NA,48642.8,4,1428.241,7,NA,74.2,63.6
"ID",2006,NA,51125.8,3.4,1468.669,7.4,23.3,75.1,66.2
"ID",2007,NA,53934.5,3,1505.105,8.1,24.5,74.5,66.4
"ID",2008,NA,56200.8,5,1534.32,10.3,24,75,63.2
"ID",2009,NA,54064.1,8.7,1554.439,11,23.9,75.5,55
"ID",2010,NA,55587.6,8.8,1570.819,8.8,24.4,72.4,53.4
"ID",2011,NA,56941.1,8.2,1584.272,8.9,25.2,72.4,55
"ID",2012,NA,58323.9,7.4,1595.91,7.1,25.5,73,57.3
"ID",2013,NA,61835.8,6.8,1612.053,6.4,26.2,71.5,60
"ID",2014,NA,64575.2,4.4,1632.248,6.1,25,69.6,60.7
"ID",2015,NA,65899.9,3.9,1652.495,5.8,26,70,62.6
"ID",2016,NA,68837.4,3.7,1684.036,6,27.6,70.5,64.6
"ID",2017,NA,71730.3,3.2,1719.745,7.7,26.8,69.9,66.8
"ID",2018,NA,77395.4,2.9,1752.074,5.5,27.7,69.2,68.8
"ID",2019,NA,82847.2,2.9,1789.06,4.5,28.7,70.6,69.4
"ID",2020,NA,85927.8,5.5,1849.202,4.4,30.9,71.5,68.7
"ID",2021,NA,96282.8,3.5,1904.314,4.4,30.7,71,71.5
"ID",2022,NA,109546.5,2.7,1939.033,4,NA,71.3,73.1
"IL",1997,NA,415534.8,4.8,12011.509,8.5,NA,68.1,903.5
"IL",1998,NA,436567.1,4.5,12069.774,7.4,NA,68,907.1
"IL",1999,NA,460331.1,4.4,12128.37,6.9,NA,67.1,883.3
"IL",2000,NA,487014.6,4.4,12434.161,7.8,NA,67.9,871.8
"IL",2001,NA,501552.8,5.4,12488.445,9,NA,69.4,816.6
"IL",2002,NA,514361.1,6.6,12525.556,10.9,NA,70.1,755
"IL",2003,NA,533022.5,6.7,12556.006,12,NA,70.7,715.2
"IL",2004,NA,563060.8,6.2,12589.773,14.8,NA,72.7,698.2
"IL",2005,NA,589811.8,5.7,12609.903,13.4,NA,70.9,689.3
"IL",2006,NA,624242.9,4.6,12643.955,12.6,28.9,70.4,684.5
"IL",2007,NA,650145.2,5.1,12695.866,10.4,29.5,69.4,676.6
"IL",2008,NA,654657.5,6.5,12747.038,10,29.9,68.9,658.6
"IL",2009,NA,649862.7,10.2,12796.778,10.8,30.6,69.1,577.8
"IL",2010,NA,666404.8,10.5,12840.545,11,30.8,68.8,562.1
"IL",2011,NA,692880.8,9.8,12867.783,10.2,31,68.4,575.1
"IL",2012,NA,726399.1,9.1,12883.029,9.5,31.6,66.8,584.3
"IL",2013,NA,741121.5,9.1,12895.778,9.6,32.1,67.2,580.7
"IL",2014,NA,771356.1,7.2,12885.092,9.2,32.8,66.4,581.4
"IL",2015,NA,799930.5,6,12859.585,7.5,32.9,65.4,583
"IL",2016,NA,807043.2,5.9,12821.709,7.6,34,65.3,575.9
"IL",2017,NA,824913.4,5,12779.893,8,34.4,65.4,576.8
"IL",2018,NA,865661,4.4,12724.685,7.4,35.1,66,588
"IL",2019,NA,889540.1,4,12667.017,7.5,35.8,65.1,587.1
"IL",2020,NA,856942.9,9.3,12786.58,7.9,37.6,67.3,556.3
"IL",2021,NA,945673.8,6.1,12686.469,8.2,37.1,68.3,555.2
"IL",2022,NA,1033310.1,4.5,12582.032,7.4,NA,66.7,569.7
"IN",1997,NA,170431.9,3.4,5872.37,7.2,NA,74.1,651.3
"IN",1998,NA,184359.8,3,5907.617,8.1,NA,72.6,657.4
"IN",1999,NA,193147.3,3,5942.901,11.5,NA,72.9,665.2
"IN",2000,NA,203801.1,3.1,6091.866,10.6,NA,74.9,663.6
"IN",2001,NA,205470.9,4.2,6127.76,10.3,NA,75.3,614.6
"IN",2002,NA,212837.8,5.2,6155.967,12.1,NA,75.1,589.8
"IN",2003,NA,225442.7,5.3,6196.638,12.8,NA,74.4,574.3
"IN",2004,NA,239743.6,5.4,6233.007,12.9,NA,75.8,570.9
"IN",2005,NA,248170.5,5.4,6278.616,14.2,NA,75,570.3
"IN",2006,NA,259602.8,5,6332.669,14,21.7,74.2,564.7
"IN",2007,NA,273509.5,4.6,6379.599,13.3,22.1,73.8,549.5
"IN",2008,NA,275538.7,5.9,6424.806,14.8,22.9,74.4,520.7
"IN",2009,NA,263326.8,10.4,6459.325,11.9,22.5,72,441
"IN",2010,NA,282562.2,10.1,6490.555,11.8,22.7,71.2,446.5
"IN",2011,NA,291356.1,8.9,6517.25,13,23,72.1,462.9
"IN",2012,NA,300513.9,8.2,6538.989,12.5,23.4,72.1,480.9
"IN",2013,NA,312138.5,7.5,6570.575,13.1,23.8,71.7,491
"IN",2014,NA,327958.3,6,6596.019,10.8,24.7,70.1,506.5
"IN",2015,NA,331945.7,4.8,6611.442,9.2,24.9,69.4,518.1
